SALIDA,PASA por,,PASA por,PASA por,PASA por,PASA por,,PASA por,LLEGADA,,,,,,,,,,,,,,
desde,,,Plaza,Balneario,Plaza,Plaza,,,a
ORO VERDE,Km. 5 1/2,PASA,1ยบ de Mayo,Thompson,Alvear,Alberdi,PASA,Km. 5 1/2,ORO VERDE
,,,,5:10,5:20,5:26,,5:43,5:50
4:52,5:00,por PARACAO,5:19,5:29,5:39,5:45,por PARACAO,6:02,6:09
5:18,5:26,,5:47,5:57,6:07,6:13,,6:31,6:38
5:53,6:02,por PARACAO,6:24,6:34,6:45,6:51,por PARACAO,7:09,7:16
6:18,6:29,,6:54,7:04,7:16,7:23,,7:42,7:49
6:40,6:51,por PARACAO,7:18,7:29,7:41,7:49,por PARACAO,8:10,8:17
7:00,7:11,,7:38,7:49,8:01,8:09,,8:30,8:37
7:16,7:27,por PARACAO,7:54,8:05,8:17,8:25,por PARACAO,8:46,8:53
7:32,7:43,,8:10,8:21,8:33,8:41,,9:02,9:09
7:48,7:59,por PARACAO,8:26,8:37,8:49,8:57,por PARACAO,9:18,9:25
8:04,8:15,,8:42,8:53,9:05,9:13,,9:34,9:41,
8:20,8:31,por PARACAO,8:58,9:09,9:21,9:29,por PARACAO,9:50,9:57
8:36,8:47,,9:14,9:25,9:37,9:45,,10:06,10:13
8:52,9:03,por PARACAO,9:30,9:41,9:53,10:01,por PARACAO,10:22,10:29
9:08,9:19,,9:46,9:57,10:09,10:17,,10:38,10:45
9:24,9:35,por PARACAO,10:02,10:13,10:25,10:33,por PARACAO,10:54,11:01
9:40,9:51,,10:18,10:29,10:41,10:49,,11:10,11:17
9:56,10:07,por PARACAO,10:34,10:45,10:57,11:05,por PARACAO,11:26,11:33
10:12,10:23,,10:50,11:01,11:13,11:21,,11:42,11:49,
10:28,10:39,por PARACAO,11:06,11:17,11:29,11:37,por PARACAO,11:58,12:05,
10:44,10:55,,11:22,11:33,11:45,11:53,,12:14,12:21,
11:00,11:11,por PARACAO,11:38,11:49,12:01,12:09,por PARACAO,12:30,12:37,
11:16,11:27,,11:54,12:05,12:17,12:25,,12:46,12:53,
11:32,11:43,por PARACAO,12:10,12:21,12:33,12:41,por PARACAO,13:02,13:09,
11:48,11:59,,12:26,12:37,12:49,12:57,,13:18,13:25,
12:04,12:15,por PARACAO,12:42,12:53,13:05,13:13,por PARACAO,13:34,13:41,
12:22,12:32,,12:59,13:10,13:22,13:30,,13:50,13:57,
12:44,12:54,por PARACAO,13:21,13:32,13:44,13:52,por PARACAO,14:12,14:19,
13:06,13:16,,13:43,13:54,14:06,14:14,,14:34,14:41,
13:28,13:38,por PARACAO,14:05,14:16,14:28,14:36,por PARACAO,14:56,15:03,
13:50,14:00,,14:27,14:38,14:50,14:58,,15:18,15:25,
14:12,14:22,por PARACAO,14:49,15:00,15:12,15:20,por PARACAO,15:40,15:47,
14:34,14:44,,15:11,15:22,15:34,15:42,,16:02,16:09,
14:56,15:06,por PARACAO,15:33,15:44,15:56,16:04,por PARACAO,16:24,16:31
15:18,15:28,,15:55,16:06,16:18,16:26,,16:46,16:53
15:40,15:50,por PARACAO,16:17,16:28,16:40,16:48,por PARACAO,17:08,17:15
16:02,16:12,,16:39,16:50,17:02,17:10,,17:30,17:37
16:24,16:34,por PARACAO,17:01,17:12,17:24,17:32,por PARACAO,17:52,17:59
16:42,16:53,,17:20,17:31,17:43,17:51,,18:12,18:19,
16:58,17:09,por PARACAO,17:36,17:47,17:59,18:07,por PARACAO,18:28,18:35
17:14,17:25,,17:52,18:03,18:15,18:23,,18:44,18:51
17:30,17:41,por PARACAO,18:08,18:19,18:31,18:39,por PARACAO,19:00,19:07
17:46,17:57,,18:24,18:35,18:47,18:55,,19:16,19:23
18:02,18:13,por PARACAO,18:40,18:51,19:03,19:11,por PARACAO,19:32,19:39
18:18,18:29,,18:56,19:07,19:19,19:27,,19:48,19:55
18:34,18:45,por PARACAO,19:12,19:23,19:35,19:43,por PARACAO,20:04,20:11
18:50,19:01,,19:28,19:39,19:51,19:59,,20:20,20:27,
19:06,19:17,por PARACAO,19:44,19:55,20:07,20:15,por PARACAO,20:36,20:43,
19:22,19:33,,20:00,20:11,20:23,20:31,,20:52,20:59,
19:40,19:51,por PARACAO,20:18,20:29,20:41,20:49,por PARACAO,21:10,21:17,
19:58,20:09,,20:36,20:47,20:59,21:07,,21:28,21:35,
20:16,20:26,por PARACAO,20:53,21:04,21:16,21:24,por PARACAO,21:45,21:52,
20:35,20:45,,21:12,21:23,21:35,21:43,,22:03,22:10,
20:55,21:05,por PARACAO,21:32,21:43,21:55,22:03,por PARACAO,22:23,22:30,
21:15,21:25,,21:52,22:03,22:15,22:23,,22:43,22:50,
21:37,21:47,por PARACAO,22:14,22:25,22:36,22:45,por PARACAO,23:05,23:12,
21:59,22:10,,22:36,22:47,22:58,23:06,,23:25,23:32,
22:21,22:30,por PARACAO,22:55,23:05,23:17,23:25,por PARACAO,23:45,23:52,
22:45,22:53,,23:15,23:25,23:35,23:41,,23:58,0:05,
23:10,23:18,por PARACAO,23:40,23:50,0:00,0:06,por PARACAO,0:23,0:30,
23:35,23:43,,0:04,0:14,-,-,,-,-,
0:00,0:08,por PARACAO,0:29,0:39,-,-,,-,-,
